Questions,Answers
How does Lynch rank the U.S. stock market globally?,Lynch notes the U.S. market ranks eighth among major world markets in total return over the past decade.
What does Lynch guarantee about long-term stock vs. bond performance?,Lynch states a portfolio of well-chosen stocks and/or equity mutual funds will always outperform bonds or money-market accounts long-term.
What warning does Lynch give about poorly chosen stocks?,Lynch warns that a portfolio of poorly chosen stocks won't outperform money left under the mattress - selection quality matters.
Why did Lynch get his hair cut at Supercuts?,"A prospectus for the haircutting venture had found its way to his desk, leading him to cheat on his regular barber Vinnie DiVincenzo for research purposes."
Who is Lynch's regular barber and what does he charge?,"Vinnie DiVincenzo offers a $10 haircut with pleasant conversation at his Marblehead, Massachusetts business."
Where was the Supercuts location Lynch visited?,"829 Boylston Street, Boston, on the second floor of a brownstone."
How did Supercuts prices compare to Lynch's regular barber?,Prices were in line with Vinnie's charges and substantially less than beauty salons and unisex outlets where his family gets haircuts.
What did Lynch observe about customer demand at Supercuts?,"Three customers getting haircuts, four waiting, all male, indicating people thought a Supercuts haircut was worth waiting for."
How does Lynch compare Supercuts to Service Corporation International?,"Similar situation - people were dying at regular rate, somebody had to bury them, industry made up of inefficient small operators whose children wanted to go to law school."
What did Lynch learn about haircutter licensing requirements?,"Haircutters have to be licensed (unlike fund managers), and there are no requirements for managing billions but you need to pass a test to trim sideburns."
What concerned Lynch about Supercuts' balance sheet?,"Debt was 31% of total capital, a disturbing number that required further explanation."
What was Lynch's personal experience getting the Supercut?,"The stylist snipped off everything including his sideburns so quickly he had no time to object, feeling like the privet hedge in Edward Scissorhands."
How did Lynch's family react to his new haircut?,"What happened to you?' from his wife and daughters, with acquaintances saying he looked 'young' (which Lynch took as diplomatic politeness)."
"What is Lynch's exception to the 'like the store, buy the stock' rule?","After being sheared at Supercuts, he liked the stock prospects far more than he liked the store experience."
Who did Lynch speak with at Supercuts corporate?,"Steven J. Thompson, senior vice-president and CFO, who commiserated about the lost sideburns and discussed business fundamentals."
What was Supercuts' growth rate and valuation when Lynch recommended it?,20% grower selling for 16 times earnings at time of recommendation.
What did Lynch tell the Barron's panel about his Supercuts experience?,"I got a haircut there, I tried it out.' When asked if it was his current haircut, he admitted it was."
What was Alan Abelson's reaction to Lynch's Supercuts haircut?,We won't advertise that' - referring to Lynch's appearance after the Supercuts experience.
What convinced Lynch to recommend Supercuts despite his bad haircut?,The excellent numbers and business fundamentals won out over the lost sideburns and poor personal experience.
What does Lynch emphasize about the haircutting industry transformation?,"A perfect opportunity for a well-managed, efficient nationwide franchise to capture market from disappearing independent operators."
How does Lynch view the Supercuts business model sustainability?,"Unlike aluminum industry where half earnings go to plant improvements, hair salon's biggest ongoing expenses are just scissors and combs."
What was Lynch's promise after the Supercuts experience?,Never again to stray from Vinnie DiVincenzo and his regular $10 haircut - loyalty to his regular barber was restored.
What is Lynch's preference between great industries and lousy industries?,"Lynch prefers lousy industries over great industries anytime - in lousy industries, the weak drop out and survivors get bigger market share."
What does Lynch say about popular vs. unpopular industries?,"A great industry that's growing fast attracts too much attention and competitors - as Yogi Berra said, 'It's so popular, nobody goes there anymore.'"
What correlation does Lynch observe about corporate culture and performance?,"Pompous boardrooms, overblown executive salaries, demoralized rank and file, excessive debt, and mediocre performance go hand in hand."
Who recommended Sun Television & Appliances to Lynch?,"John Weiss, an analyst from Montgomery Securities in California, after Lynch asked about discount appliance store chains."
What convinced Lynch to call Sun TV directly?,Weiss's compelling story led Lynch to call corporate headquarters in Ohio to talk to the source directly.
Who did Lynch reach at Sun TV and what does this indicate?,"Bob Oyster, the CEO, without delay - indicating the company doesn't suffer from excessive hierarchy."
What demographic fact does Lynch mention about Columbus?,"50% of U.S. population lives within 500 miles of Columbus, and it's the only major city east of Mississippi, north of Mason-Dixon that grew 1950-1990."
What were Sun TV's financial metrics when Lynch analyzed it?,"Less than $10 million debt, stock selling for $18 with P/E ratio of 15, while growing at 25-30% rate."
What are the characteristics of Lynch's Magnificent Seven companies?,Great companies in lousy industries that have shown exceptional performance despite challenging sector conditions.
How does Lynch suggest judging a company's commitment to frugality?,"Visit the headquarters - if company has a big building, it doesn't mean people are smart, but it means you helped pay for it."
What does Lynch find less exciting than Bandag's business?,"What could be less exciting than a company that makes retread tires in Muscatine, Iowa?"
What does Crown Cork & Seal remind Lynch of?,New England Wire & Cable from 'Other People's Money' - messy executive suite over factory decorated with muffler-shop calendars.
What are Lynch's three basic types of S&Ls?,"The bad guys (perpetrated fraud), the greedy guys (ruined a good thing), and the Jimmy Stewarts (quietly profitable all along)."
How did Lynch approach S&L investing during this period?,"He was so indiscriminate that he bought anything with 'first' or 'trust' in the name, investing in 135 of 145 thrifts whose prospectuses reached his desk."
What were Lynch's two explanations for his S&L attraction?,"1) Fund was so big and S&Ls so small he needed large quantities like whales surviving on plankton, 2) Unique way S&Ls came public made them automatic bargains."
What publication did Lynch use for S&L research?,"The Thrift Digest, published by SNL Securities, thick as Boston phone directory, costs $700/year for monthly updates."
What are the key factors in Lynch's S&L scorecard?,"Current price, initial offering price, equity-to-assets ratio, dividend, book value, P/E ratio, high-risk real estate assets, 90-day nonperforming assets, real estate owned."
What E/A ratio does Lynch prefer before investing?,At least 7.5% E/A ratio for disaster protection and because high E/A makes attractive takeover candidate.
How many S&Ls did Lynch end up recommending in Barron's?,Seven S&Ls: five strong Jimmy Stewart types and two long shots (born-agains) coming back from Chapter 11 edge.
Why did Lynch pick two 'born-again' S&Ls despite poor numbers?,"They maintained high E/A ratios despite problems, giving leeway to work out troubles, and stock prices had fallen so low that survival meant big gains."
What is an example of Lynch's bottom-fishing approach?,"Lawrence Savings fell from $13 to 75 cents - if it survived, bottom fishers would make substantial money."
Why does Lynch usually call companies before investing?,To improve odds by finding specific information or fishing for surprises that haven't come to Wall Street analysts' attention.
How many S&Ls did Lynch call for his detailed research?,Six S&Ls: four strong ones plus two born-agains (he didn't call Eagle Financial because annual report arrived in time).
When did Lynch call Glacier Bancorp and what was he wearing?,"Day after Christmas, wearing plaid pants and sweatshirt in the empty Fidelity building except for security guard."
Why does Lynch prefer antiquated names over trendy ones?,"He'd rather have antiquated and parochial than trendy and sophisticated, which usually means desperate to improve image."
What is Lynch's concern about 'bancorp' vs 'bank' names?,"He knows what a bank is, but 'bancorp' makes him nervous - prefers companies that stick to business and let images take care of themselves."
How does Lynch establish rapport before asking serious questions?,"Started with mountains, mentioned family trips to Western states and national parks, discussed timber industry, spotted owl, ski areas."
What was Lynch's concern about Glacier's 9.2% commercial loans?,"In New England that would be scary, but Montana wasn't Massachusetts - mostly multifamily housing in growing area with California escapees."
What did Lynch find in Germantown's balance sheet analysis?,"Deposits up (customers keeping money there), loans down (bankers being conservative), investment securities up $50M (parking assets in bonds)."
How did Lynch learn about Sovereign Bancorp?,"Through November 25, 1991 Barron's article entitled 'Hometown Lender to the Well-Heeled' about serving wealthy southeastern Pennsylvania."
Why does Lynch prefer share buybacks over acquisitions for enhancing value?,"Share buybacks are simplest, most direct way to reward shareholders, while companies often squander money on fanciful acquisitions instead."
What examples does Lynch give of successful buyback strategies?,International Dairy Queen and Crown Cork & Seal became spectacular performers because management committed to buying back shares - that's how Teledyne became 100-bagger.
How does Lynch analyze long-shot S&Ls?,"Find equity amount, compare to commercial loans outstanding, assume the worst - if half go bad, does S&L survive?"
What is the 'can't-lose proposition' Lynch describes about S&L IPOs?,"Like buying a house and finding former owners left your down payment money in kitchen drawer with note 'Keep this, it belonged to you anyway.'"
What examples does Lynch give of outstanding 1992 mutual thrift performance?,"Mutual Savings Bank of Bay City, Michigan and United Postal Bancorp in St. Louis both quadrupled in value."
What is Lynch's advice about participating in local S&L conversions?,Open savings account in any mutual savings bank in your area to get right to participate in IPO when it happens.
Why does Lynch welcome the MLP paperwork requirement?,"The nuisance dissuades many investors, particularly fund managers, keeping prices down and creating bargains."
What is appealing about MLP names according to Lynch?,"Names seem antiquated and out of sync with high-tech culture - Cedar Fair could be from Thackeray, Green Acres from Jane Austen."
What brought EQK Green Acres to Lynch's attention?,"The stock dropped during Saddam Sell-off from $13.75 high to $9.75, offering 13.5% yield - as good as junk bonds but more secure."
What was Lynch's key concern about any mall investment?,Vacancies - malls averaged 4% vacancy rate while Green Acres was lower.
What warning sign did Lynch see in Green Acres' third-quarter 1991 report?,"Company was debating whether to pay regular quarterly dividend increase of one cent to save $100,000 - breaking 13-quarter string for paltry savings."
Why didn't Lynch recommend Green Acres for a second time?,Potential agreements weren't signed contracts - he preferred waiting for proof rather than buying on rumors.
What did Lynch ask about Cedar Fair's 1992 prospects?,"He looks for reasons next year will be better than last - if he can't find such reason, he questions why own the stock."
What evidence did Lynch see of management dedication?,"President was in office taking phone calls on December 23, two days before Christmas."
How did Lynch determine Sun was a low-cost operator?,"Gross margin of 60% (dividing cost of sales by net sales) - making $40 profit on every $100 of sales, tops among distributors."
How did Sun's debt situation affect Lynch's analysis?,"High debt (60% of capitalization) was concerning, but cash flow sufficient to cover interest four times over."
Why didn't Lynch dismiss Tenera completely?,"Zero debt and no large expenses meant it wasn't going out of business immediately, had well-regarded nuclear services division."
What were Tenera's positives for Lynch's analysis?,"Zero debt, no capital spending needed (consultants need desk, calculator, phone), earning power of 77-81 cents/share in prior four years."
How did Lynch value Tenera as potential liquidation?,"Figured auction value worth more than $1.50/share with no debts, entire amount minus legal fees would go to shareholders."
What convinced Lynch that Tenera had remaining value?,Insiders were holding onto shares and new management believed turnaround was possible within reasonable timeframe.
What led Lynch to Phelps Dodge in 1992?,"He was foiled in housing rebound plays by other buyers, but they hadn't anticipated copper market rebound - his plumber confirmed copper pipe prices rising."
What makes copper more valuable than aluminum according to Lynch?,Aluminum is 8% of earth's crust and easy to extract; copper is scarcer and vanishing asset - mines run out or flood and close.
How did Lynch evaluate Phelps Dodge's subsidiary businesses?,"Carbon black OK, magnet wire OK, truck wheels OK, Canyon Resources gold mine could become big moneymaker."
What technique does Lynch use for valuing diversified companies?,"Thumbnail appraisal of various divisions - take earnings of each division, multiply by generic P/E ratio to get rough value."
Why does Lynch classify autos as cyclicals rather than blue chips?,"Buying auto stock for 25 years is like flying over Alps - you may get something, but not as much as the hiker experiencing ups and downs."
What convinced Lynch to look at autos again in 1991?,"Auto stocks down 50% from recent highs, widespread showroom gloom, but certain that Americans will continue replacing cars."
What is Lynch's certainty about American car buying habits?,"Until someone invents reliable Hovercraft for home use, cars will continue being America's most beloved personal possession."
What forces eventual car replacement according to Lynch?,"Cars eventually need replacement due to being tired of old ones, brakes shot, road visible through rusted floorboards, plus mandatory inspections."
What was the car sales decline that led to Lynch's 1980s auto investment?,"Annual sales declined from 15.4 million vehicles (1977) to 10.5 million (1982), but couldn't go to zero."
What is the key indicator Lynch uses for auto stock timing?,"Used-car prices - when dealers lower prices, new car market is worse; when used prices rise, good times ahead for automakers."
"Why did Lynch favor Chrysler, Ford, and Volvo over General Motors?","GM's reputation for excellence far exceeded desire to live up to it - company was arrogant, myopic, resting on laurels."
What was Lynch's experience with GM's investor relations?,Assigned to investor relations guy who couldn't find R&D center (size of big college campus) - took couple hours to locate it.
How did Lynch view GM in 1991 compared to earlier opinions?,Previous popular view: powerful company with profitable future. 1991 popular view: weak company with miserable future - Lynch suspected latest view equally misguided.
What parallel does Lynch draw between GM 1992 and Chrysler 1982?,"Same story: powerful enterprise forgets how to make cars, loses public confidence, lays off thousands, heads for has-been scrap heap."
What gives Lynch confidence in GM's potential recovery?,"Better balance sheet in 1992 than Chrysler had in 1982, plus profitable non-auto divisions."
What examples does Lynch give of big utility winners in recent years?,"Southern Company ($11 to $33 in 5 years), Oklahoma Gas and Electric ($13 to $40), Philadelphia Electric ($9 to $26)."
When did Lynch have 10% of Magellan invested in utilities?,During brief periods when interest rates were declining and economy was sputtering - he treated utilities as interest-rate cyclicals.
Which utilities has Lynch done best with?,"The troubled ones: General Public Utilities (Three Mile Island), Public Service of New Hampshire, Long Island Lighting, Gulf States, Middle South (now Entergy)."
Why is Lynch's record better with troubled utilities than troubled companies generally?,"Utilities are regulated by government - as long as people need electricity, a way must be found for utility to continue functioning."
Who identified the 'troubled utility cycle' that Lynch references?,"Three analysts at NatWest Investment Banking Group: Kathleen Lally, John Kellenyi, and Philip Smyth."
What is Lynch's strategy for investing in troubled utilities?,"Buy on omission of dividend and wait for good news, or buy when first good news arrives in second stage."
What simple strategy does Lynch suggest for troubled utilities?,"Buy when dividend is omitted, hold until dividend is restored - strategy with terrific success ratio."
Who brought CMS to Lynch's attention?,"Danny Frank, manager of Fidelity's Special Situations Fund, who had investigated several troubled nukes."
How did Lynch verify CMS could handle its debt load?,"Calculated cash flow of $6/share (earnings plus depreciation divided by shares), sufficient to pay interest with money left over."
What could CMS do with its excess cash according to Lynch?,"Buy back stock, make acquisitions, or increase dividend - all benefiting shareholders."
Why did Lynch view CMS as more than just regulatory gamble?,Powerful cash flow would enable reentry to strong utility ranks regardless of commission decisions.
What alternatives does Lynch mention for distressed utility investing?,"Public Service Company of New Mexico or 'more hapless' Tucson Electric, both with available investor relations staff."
What is Lynch's attitude toward government garage sales?,"When Uncle Sam or the Queen of England is having a garage sale, Lynch always tries to attend."
What British privatization did Lynch encounter at Fidelity?,"British contingent with numbered prospectus for water utilities: Northumbrian Water, Severn Trent, Yorkshire Water, Welsh Water PLC."
What other U.S. privatization possibilities has Lynch considered?,"Amtrak, naval petroleum reserves in California and Wyoming, National Gallery, Marine Band, Niagara Falls."
What tangible result of Allied Capital investment does Lynch mention?,Air purifier in his bedroom that removes so much grit the room has air quality of genetic engineering lab.
What was Allied Capital II's dividend and price when Lynch analyzed it?,Selling for $19 with 6% dividend.
How does Lynch view Allied Capital II as an investment opportunity?,Simple way to turn S&L fiasco into something advantageous - chance to make back some taxes paid for S&L bailout.
Which group on Wall Street did Lynch miss for several years?,"The mutual fund industry - he missed Dreyfus, Franklin Resources, Colonial Group, T. Rowe Price, State Street Bank, Alliance Capital Management, and Eaton Vance."
How does Lynch compare himself to a mall manager regarding mutual fund stocks?,"Like the mall manager who neglected to buy Gap stock despite seeing sales results daily, Lynch neglected mutual fund companies despite being in the industry."
What what-if portfolio performance does Lynch present for mutual fund companies?,"If you divided money equally among eight stocks from beginning 1988 to end 1989, you would have outperformed 99% of the funds these companies promote."
What is Lynch's observation about the Gold Rush and mutual fund investing?,"In the Gold Rush, people who sold picks and shovels did better than the prospectors - during fund popularity, investing in fund companies beats their products."
How did Lynch perform with mutual fund stock recommendations in 1991?,"Failed to recommend a single mutual fund company, missing Franklin (75% gain), Dreyfus (55%), T. Rowe Price (116%), UAM (80%)."
Which fund-related stock did Lynch recommend in 1991 and how did it perform?,Kemper (insurance with fund business via $50 billion managed) - stock doubled in 1991.
Who did Lynch speak with at Colonial Group?,"Corporate treasurer Davey Scoon on January 3, who reported business improvement especially in muni bond funds."
What mistake did Lynch make with his mother-in-law regarding State Street?,Advised her to sell when money-market assets seemed declining because she'd doubled her money - stock has tripled again since then.
What does Lynch say about restaurant stock recommendations in 1992?,"He didn't recommend any restaurant stocks in 1992, but admits he should have."
What happened to Taco Bell after Lynch discovered it?,"Rebounded to $40, then acquired by PepsiCo, which likes to own food companies because they help sell Pepsi's soft drinks."
What 1980s restaurant opportunities does Lynch mention?,"Cracker Barrel (popular gift shop, delicious seafood and biscuits), Chili's (public 1984), Sbarro (1985), Ryan's Family Steak Houses (1982), Uno Restaurants (1987)."
What is the tale of two hamburger franchises Lynch tells?,Chili's (Dallas) vs. Fuddrucker's (San Antonio) - both featured gourmet burger and distinctive surroundings.
Where did Lynch spot Au Bon Pain?,"In the Burlington Mall - started in Boston in 1977, went public in 1991 at $10/share."
What is Lynch's preference between high-tech investments and food?,"If choice between state-of-the-art computer chip and state-of-the-art bagel, he'll take the bagel any time."
Why didn't Lynch recommend Au Bon Pain initially?,Stock had doubled to carry P/E ratio of 40 based on expected 1992 earnings.
At what point would Lynch back up the truck on Au Bon Pain?,When price fell to $14 (less than 20x 1993 earnings) - any 25% grower selling for 20x earnings is a buy.
What examples does Lynch give of buy-and-forget dangers?,"Investors who bought and forgot IBM, Sears, and Eastman Kodak are sorry they did - these stocks declined significantly over time."
What is the six-month checkup according to Lynch?,"Not simply looking up stock price in newspaper, but following the stories to get answers to two basic questions."
How did Lynch's 21 Barron's selections perform in the first six months?,The portfolio increased 19.2% while the S&P 500 returned only 1.64% - extremely well in a so-so market.
What is Lynch's view on paying 20 times earnings for a 25% grower?,"He doesn't mind it, especially when entire NYSE was selling at 20x earnings for companies growing at only 8-10% rate."
How does Lynch categorize Body Shop's growth phase?,Attractive mid-life phase - second decade of 30 years of growth.
What was Lynch's earnings projection for Pier 1?,"80 cents from own stores plus 10-15 cents from revived Sunbelt Nursery = $1/share, making it $14 stock at reasonable 14x P/E."
What positives kept General Host as a hold for Lynch?,"Strong cash flow, dividend raised 14th year in a row, stock selling below book value, expansion proceeding as planned."
Who had bought General Host stock according to Lynch's research?,Mario Gabelli had bought million shares for his value-oriented fund.
What happened to Sunbelt Nursery after Lynch's recommendation?,Lost money since January due to more rain in Southwest dampening gardening enthusiasm.
Why did Lynch prefer Calloway's over Sunbelt by the checkup?,"Calloway's also fell in half due to rain, but was best company in industry with better fundamentals."
What is Lynch's principle about investing within attractive groups?,Find the undervalued stock within attractive group - technique he's often employed with good results.
What overhang problem did Lynch discover with Supercuts?,Carlton Investments (part of bankrupt Drexel Burnham Lambert) owns 2.2 million shares that creditors will demand be sold.
What was Lynch's concern about Supercuts expansion?,80-100 new franchises planned for 1993 - he's seen promising franchises ruined by overeager expansion.
What advice did Lynch give to Supercuts CEO?,"If you have choice between reaching your goal in fifteen years or five years, fifteen is better.'"
What is the key to making money in stocks according to Lynch?,The key to making money in stocks is not to get scared out of them. This point cannot be overemphasized.
How long has Lynch participated in the Barron's Roundtable?,Lynch has participated in the Barron's Roundtable every year since 1986.
What does Lynch say about weekend worrying?,"Weekend worrying is dangerous for investors because they have extra time to ponder distressing news, leading to emotional decisions that spoil nest eggs."
What extreme behavior did Lynch observe in 1990?,He heard cabdrivers recommending bonds and barbers bragging about buying 'puts' (options that increase in value as stocks decline).
What were some of the pessimistic headlines Lynch collected from fall 1990?,"Layoffs Hit Professional Ranks,' 'How Safe Is Your Job?,' 'The Real Estate Bust,' 'Housing Slump Hammering Remodelers,' 'Can Your Bank Stay Afloat?'"
What was Lynch doing personally during the pessimistic predictions?,"Lynch was actually buying stocks, adding to holdings in his personal account and for charitable trusts, increasing stakes in W.R. Grace and Morrison-Knudsen."
What does Lynch say about preparing for total disaster?,"It's beyond him why investors bail out of best investments to prepare for total disaster - if disaster strikes, cash will be as useless as stock certificates."
What is the Even Bigger Picture according to Lynch?,"Over 70 years, stocks have provided 11% annual gains while Treasury bills, bonds, and CDs returned less than half that amount."
What does Lynch identify as the main factor keeping people away from stocks?,"The cultural memory of the 1929 Crash, which continues to scare people 60 years later, including people who weren't even born in 1929."
How does Lynch compare market declines to Minnesota weather?,"A decline in stocks is as normal as frigid air in Minnesota - you expect it, prepare for it, and know that warmer weather will return."
How did Lynch prepare Magellan shareholders for inevitable setbacks?,"In annual reports, he often reminded shareholders that such setbacks were inevitable and normal parts of market cycles."
What comfort does Lynch find in the story of 40 market declines?,The story continues to comfort him during gloomy periods when there's another chance to buy great companies at bargain prices.
What type of faith does Lynch say stockpickers need?,"Faith that America will survive, people will keep getting up and putting on pants, and corporations making pants will profit for shareholders."
What is Lynch's view on American workers and entrepreneurs?,"Lynch has faith that America is a nation of hardworking and inventive people, and that even yuppies have gotten a bad rap for being lazy."
How many mutual funds existed when Lynch wrote this book?,"There were 3,565 mutual funds: 1,266 equity funds, 1,457 bond and income funds, 566 taxable money-market funds, and 276 short-term municipal bond funds."
What is Lynch's simple strategy for Wall Street success?,Buy stocks from Moody's Dividend Achievers list and stick with them as long as they stay on the list.
What advice does Lynch give about stock allocation?,Increase the stock part of the mix to the limit of your tolerance for the best long-term results.
What was the bond/stock mix Lynch's nonprofit organization had before restructuring?,"50% stocks and 50% bonds, yielding about 6% return with 4% growth rate - barely enough to keep up with inflation."
What does Lynch's radical conclusion suggest about bonds for income?,"Theoretically, it makes no sense to put any money into bonds, even if you need income - you're better off with stocks even when dipping into capital."
What does Lynch say about government bond funds?,He can't figure out why anyone would invest in intermediate or long-term government bond funds when they could buy Treasury bonds directly with no fees.
What is Lynch's advice about past performance charts?,"Don't spend a lot of time poring over past performance charts - it's better to stick with steady, consistent performers than move in and out trying to catch waves."
Why is Lynch getting interested in gold sector again?,"Gold supply from new mines running out, decade of low prices discouraged exploration, demand increasing (especially China factor), potential inflation hedge."
What example does Lynch give of country fund overenthusiasm?,"Germany Fund was bid up 25% above underlying stock values as Berlin Wall fell, then sold at 20-25% discount when reality set in."
What is Lynch's view on U.S. vs foreign companies?,"The U.S. still has the best companies and system for investing - Europe lacks growth companies, information is sketchy, earnings estimates are unreliable."
What does Lynch say about Japanese superiority claims?,"It's malarkey - Japan is the richest country where people have trouble making ends meet, with $5 apples, $100 dinners, and $1 million, 1000-square-foot homes."
What was the problem with the Japanese market according to Lynch?,"It was subject to behind-the-scenes manipulation unknown since the 1920s, with money-back guarantees from brokers and controlled stock prices."
What does Lynch recommend for mutual fund strategies?,"Put as much money into stock funds as possible, know what kinds you own, divide among 3-4 types, add money to lagging sectors, stick with solid performers."
What was Lynch doing when Magellan was launched in 1965?,"Lynch was a student at Boston College, caddying golf games on weekends."
How did Lynch's mother get involved in mutual funds?,A schoolteacher moonlighting as a fund salesman convinced her to buy Fidelity Capital because 'a Chinese guy' (Gerry Tsai) was running it.
What was Lynch's situation when he took over Magellan in 1977?,"$18 million in assets, $50 million tax-loss carryforward, terrible stock market, declining customers, and the fund was closed to new buyers."
What does Lynch say about being brought along slowly as a fund manager?,"The obscurity for the first four years was a blessing, enabling him to learn and make mistakes without being in a spotlight."
What was Lynch's background before managing Magellan?,"He was director of research at Fidelity from 1974-1977, served on the investment committee, and had begun helping a Boston charity manage its portfolio in 1975."
What was Lynch's first stock pick that he missed as a 30-bagger?,"General Cinema, which was selling for less than $1 when he visited on October 12, 1977, and went to over $30."
What were Lynch's biggest positions by December 1977?,"Congoleum (51,000 shares worth $833,000), Transamerica, Union Oil, and Aetna Life and Casualty."
How did Lynch discover Hanes stock?,"Through his wife Carolyn, who was crazy about their L'eggs pantyhose product."
What was Lynch's reaction when he first ordered Taco Bell stock?,"His trader Charlie Maxfield asked 'What's that, the Mexican telephone company?' showing how unknown the company was."
